CIA;LONG_IND;LAT_IND
Caixa;-3,48172875;40,53102522
Caixa;-3,989591794;40,23070217
Caixa;-3,370189459;40,50776085
Caixa;-3,376133746;40,49006602
Caixa;-3,355581521;40,48619414
Caixa;-3,376852885;40,47518077
Caixa;-3,373846059;40,49458695
Caixa;-3,367031018;40,48697816
Caixa;-3,35832319;40,4892127
Caixa;-3,364647453;40,49785958
Caixa;-3,365128832;40,47345263
Caixa;-3,370444088;40,47036364
Caixa;-3,363722149;40,47948411
Caixa;-3,34823578;40,48491019
Caixa;-3,360435347;40,48700793
Caixa;-3,370400868;40,47752596
Caixa;-3,364922322;40,4832461
Caixa;-3,633816677;40,53121897
Caixa;-3,637009476;40,53672386
Caixa;-3,647194817;40,5349826
Caixa;-3,640331517;40,55326379
Caixa;-3,640231937;40,54404828
Caixa;-3,656473467;40,53475908
Caixa;-3,634410933;40,54039576
Caixa;-3,639294903;40,54858492
Caixa;-3,645310894;40,50845292
Caixa;-3,621313062;40,52738603
Caixa;-3,656045846;40,54539197
Caixa;-3,824494063;40,35127781
Caixa;-3,810701766;40,34707797
Caixa;-3,834581934;40,33855667
Caixa;-3,82802677;40,34646874
Caixa;-3,813242191;40,35663681
Caixa;-3,833810195;40,34472447
Caixa;-3,802651215;40,35332338
Caixa;-3,817147876;40,34459114
Caixa;-3,841564933;40,34719986
Caixa;-3,819678736;40,35134808
Caixa;-3,824854931;40,34996892
Caixa;-3,829982421;40,34175197
Caixa;-3,501451933;40,596652
Caixa;-3,542818665;40,58956425
Caixa;-4,024193653;40,658503
Caixa;-3,593305838;40,03053592
Caixa;-3,597368616;40,03543432
Caixa;-3,603671062;40,03104999
Caixa;-3,616801595;40,02496238
Caixa;-3,442250383;40,30126158
Caixa;-3,469494729;40,30692017
Caixa;-3,446199677;40,30953495
Caixa;-3,437552463;40,30081096
Caixa;-3,920845979;40,27454083
Caixa;-3,920860363;40,26953161
Caixa;-3,988430503;40,71594676
Caixa;-3,338830513;40,13372884
Caixa;-3,886822165;40,40162768
Caixa;-3,876000237;40,40677323
Caixa;-3,997497123;40,40546453
Caixa;-3,63633816;40,99402725
Caixa;-3,377584221;40,54881773
Caixa;-3,38196503;40,33827919
Caixa;-3,829947956;40,17051349
Caixa;-4,057144442;40,74050745
Caixa;-3,619148749;40,15995824
Caixa;-3,502341948;40,56712616
Caixa;-4,19811685;40,4165143
Caixa;-3,388750572;40,10869658
Caixa;-4,015710828;40,56005953
Caixa;-3,776871742;40,66713438
Caixa;-3,765441893;40,65875161
Caixa;-4,025727542;40,69375776
Caixa;-4,018523034;40,6270952
Caixa;-4,01581257;40,61988516
Caixa;-4,005570605;40,62673126
Caixa;-4,006489664;40,62966906
Caixa;-3,992332528;40,64619625
Caixa;-3,566474291;40,42512758
Caixa;-3,543083985;40,43514079
Caixa;-3,541741176;40,41913797
Caixa;-3,561111775;40,42953214
Caixa;-3,540884106;40,4283943
Caixa;-3,418973668;40,14071931
Caixa;-3,458334911;40,54255271
Caixa;-4,129348642;40,5822918
Caixa;-3,108245094;40,18342014
Caixa;-3,803837526;40,28955735
Caixa;-3,789757165;40,2836722
Caixa;-3,78578925;40,29251023
Caixa;-3,758626566;40,26966393
Caixa;-3,804433803;40,28527383
Caixa;-3,802075172;40,29672288
Caixa;-3,796623627;40,29539115
Caixa;-3,838153219;40,30080956
Caixa;-3,808507191;40,30033584
Caixa;-3,791430033;40,28892215
Caixa;-3,744334612;40,26412596
Caixa;-3,512183923;40,63390128
Caixa;-3,159847696;40,11819423
Caixa;-4,003461149;40,57740924
Caixa;-3,737065837;40,32468741
Caixa;-3,722923757;40,31757832
Caixa;-3,724409787;40,31015446
Caixa;-3,72246603;40,32542818
Caixa;-3,739700546;40,32019304
Caixa;-3,737892408;40,30438444
Caixa;-3,705079271;40,30384132
Caixa;-3,736334289;40,30935844
Caixa;-3,727733725;40,31283636
Caixa;-3,716402547;40,31193409
Caixa;-3,721490964;40,31123579
Caixa;-3,731722924;40,30516238
Caixa;-3,728268553;40,30894102
Caixa;-3,745704359;40,2967486
Caixa;-3,852425111;40,21264
Caixa;-3,693961686;40,78464774
Caixa;-4,089431667;40,67230147
Caixa;-3,906516346;40,62182181
Caixa;-3,814583037;40,26540956
Caixa;-3,827049555;40,25287936
Caixa;-3,772865804;40,33231875
Caixa;-3,762809435;40,32997106
Caixa;-3,781035198;40,35881378
Caixa;-3,749309276;40,34293338
Caixa;-3,738655655;40,33663243
Caixa;-3,786780371;40,31405347
Caixa;-3,753388257;40,3296364
Caixa;-3,761160615;40,32571158
Caixa;-3,755394927;40,33646126
Caixa;-3,749634986;40,33512934
Caixa;-3,766914043;40,32443932
Caixa;-3,769279904;40,33998241
Caixa;-3,771413088;40,32673377
Caixa;-3,769506772;40,33404388
Caixa;-3,753431437;40,33351907
Caixa;-3,763888682;40,32754948
Caixa;-3,658344583;40,39276685
Caixa;-3,67529628;40,43837202
Caixa;-3,620656699;40,45490353
Caixa;-3,69693724;40,47081107
Caixa;-3,654200835;40,44183568
Caixa;-3,712696229;40,47852573
Caixa;-3,675563927;40,47334336
Caixa;-3,671283276;40,50784551
Caixa;-3,719275083;40,48143991
Caixa;-3,683033877;40,40485798
Caixa;-3,675965908;40,40162021
Caixa;-3,672862449;40,40001668
Caixa;-3,628161967;40,40724119
Caixa;-3,658273909;40,43510083
Caixa;-3,601766253;40,36526395
Caixa;-3,787410992;40,44516721
Caixa;-3,675008681;40,42376106
Caixa;-3,698842721;40,45320504
Caixa;-3,696541619;40,35932649
Caixa;-3,581334483;40,47107194
Caixa;-3,625329558;40,4577252
Caixa;-3,722626865;40,40115783
Caixa;-3,651538967;40,42626508
Caixa;-3,67784867;40,40722184
Caixa;-3,671608605;40,40665465
Caixa;-3,695235921;40,5060012
Caixa;-3,648077936;40,40711326
Caixa;-3,74744985;40,38353145
Caixa;-3,737829567;40,39153924
Caixa;-3,689145353;40,35813655
Caixa;-3,782349416;40,45915646
Caixa;-3,656771493;40,38123514
Caixa;-3,651390918;40,38646383
Caixa;-3,758767703;40,36218727
Caixa;-3,667539417;40,3860384
Caixa;-3,727744563;40,42663032
Caixa;-3,620675613;40,40310141
Caixa;-3,685574965;40,47058173
Caixa;-3,708572978;40,42969537
Caixa;-3,676718992;40,41680509
Caixa;-3,673354438;40,42573468
Caixa;-3,667632248;40,42883093
Caixa;-3,656805959;40,43206413
Caixa;-3,643923967;40,43496543
Caixa;-3,626105559;40,44094621
Caixa;-3,69520519;40,3668031
Caixa;-3,757490118;40,36799751
Caixa;-3,710195647;40,44946018
Caixa;-3,623245477;40,37890714
Caixa;-3,700783067;40,38905796
Caixa;-3,714807194;40,39717938
Caixa;-3,708498927;40,39454251
Caixa;-3,641449442;40,39042935
Caixa;-3,613559809;40,42020258
Caixa;-3,697177013;40,35126849
Caixa;-3,707869732;40,41771766
Caixa;-3,679009467;40,39372844
Caixa;-3,655403034;40,45513517
Caixa;-3,658541549;40,45769391
Caixa;-3,698417765;40,41214449
Caixa;-3,592094832;40,4618912
Caixa;-3,695795552;40,42074592
Caixa;-3,590508879;40,4531876
Caixa;-3,677258465;40,34830571
Caixa;-3,613358404;40,44474428
Caixa;-3,703539741;40,45125763
Caixa;-3,701071071;40,45768703
Caixa;-3,69801468;40,46093975
Caixa;-3,692670926;40,46545836
Caixa;-3,704193865;40,44613654
Caixa;-3,669226994;40,47670454
Caixa;-3,727636961;40,38600018
Caixa;-3,730401182;40,38231606
Caixa;-3,656913564;40,41040576
Caixa;-3,701902563;40,46618645
Caixa;-3,691831251;40,4583463
Caixa;-3,662476926;40,3900135
Caixa;-3,675533231;40,44201929
Caixa;-3,670422024;40,43077876
Caixa;-3,681333623;40,42557081
Caixa;-3,610334337;40,38414724
Caixa;-3,71593297;40,43892029
Caixa;-3,717766567;40,48713392
Caixa;-3,671464095;40,44190786
Caixa;-3,686873878;40,42206054
Caixa;-3,71857021;40,39534524
Caixa;-3,746167108;40,40073804
Caixa;-3,618906181;40,37202044
Caixa;-3,667482083;40,44464264
Caixa;-3,658497988;40,47738778
Caixa;-3,682632437;40,43510371
Caixa;-3,67025342;40,4102301
Caixa;-3,669038973;40,41612906
Caixa;-3,708671382;40,38289271
Caixa;-3,671734903;40,46318554
Caixa;-3,693083466;40,39193322
Caixa;-3,70120617;40,40372217
Caixa;-3,625386286;40,43331044
Caixa;-3,670729147;40,43439861
Caixa;-3,766422514;40,39540733
Caixa;-3,696919033;40,44051396
Caixa;-3,653679709;40,43916294
Caixa;-3,665502598;40,4113116
Caixa;-3,750983524;40,37392289
Caixa;-3,642584066;40,42797287
Caixa;-3,721699114;40,46541589
Caixa;-3,745157927;40,37653717
Caixa;-3,704011744;40,4851735
Caixa;-3,674519993;40,42204318
Caixa;-3,647099669;40,44277655
