"","longitude","latitude","price","room_type","minimum_nights","number_of_reviews","review_scores_value","calculated_host_listings_count","bedrooms","reviews_per_month","beds","accommodates","availability_30","availability_60","availability_90","instant_bookable","Distancia_Centro","Distancia_Norte","Distancia_Sur","logprice","tv_ports","phone_ports","Vecinos","Piso","ventanas"
"1",-3.68338,40.40808,60,"Entire home/apt",1,208,9,4,1,2.13,2,3,2,12,42,"t",1.9,7.1,4,4.0943445622221,4,4,1,5,1
"2",-3.68147,40.40392,75,"Entire home/apt",3,89,10,1,2,0.95,3,4,24,54,84,"t",2.3,7.6,3.9,4.31748811353631,2,3,1,5,5
"3",-3.69021,40.41826,350,"Entire home/apt",5,83,10,1,5,0.91,13,16,0,0,0,"t",1.1,6,4.2,5.85793315448346,3,1,1,2,5
"4",-3.67884,40.40668,170,"Entire home/apt",4,144,10,1,3,1.63,4,6,9,17,22,"f",2.4,7.3,4.2,5.13579843705026,4,2,1,1,6
"5",-3.67526,40.40751,144,"Entire home/apt",2,59,10,3,3,0.75,5,6,0,0,0,"f",2.6,7.2,4.5,4.969813299576,2,2,2,6,4
"6",-3.67975,40.40468,110,"Entire home/apt",3,14,8,50,3,0.2,3,5,29,59,89,"t",2.4,7.5,4.1,4.70048036579242,4,3,3,5,5
"7",-3.67813,40.41817,101,"Entire home/apt",2,9,9,2,1,0.12,3,5,29,59,89,"f",2.1,6,4.9,4.61512051684126,4,2,1,2,1
"8",-3.67067,40.40039,41,"Entire home/apt",1,264,9,3,1,3.56,2,4,0,0,0,"f",3.3,8,4.7,3.71357206670431,4,4,3,4,2
"9",-3.68327,40.40801,160,"Entire home/apt",1,51,9,4,3,0.71,4,7,2,12,42,"f",2,7.1,4,5.07517381523383,2,4,3,6,5
"10",-3.68332,40.40806,79,"Entire home/apt",1,300,9,4,2,4.09,2,4,5,5,5,"t",2,7.1,4,4.36944785246702,1,4,2,1,3
"11",-3.67258,40.39902,71,"Entire home/apt",2,7,9,1,1,0.26,1,2,29,59,89,"f",3.3,8.1,4.5,4.26267987704132,2,3,1,6,2
"12",-3.67664,40.4179,96,"Entire home/apt",3,17,9,1,1,0.34,2,4,0,0,0,"f",2.3,6,5,4.56434819146784,1,1,3,3,2
